data,classificacao,tipo,noticia
22/04/2025,0,mudanças climáticas,"Frente fria: volta do feriado é marcada por frio no Sul e Sudeste e alerta de temporais em Salvador; veja a previsão. Há risco de alagamentos pontuais, transbordamento de córregos e rios e deslizamentos na região metropolitana de Salvador. No Sul, uma massa de ar frio de origem polar derruba as temperaturas."
21/04/2025,0,políticas ambientais,"Os sinais de 'greenwashing' nos preparativos urbanos de Belém para sediar a COP 30. Com recursos fartos para investir em infraestrutura, Belém optou por obras que vendem a cidade a quem por pagar por seus serviços, deixando de lado mudanças que poderiam diminuir a desigualdade social."
20/04/2025,0,políticas ambientais,"Margem Equatorial: Fantástico vai à região que está no centro do debate sobre a exploração de petróleo. A Margem Equatorial começa na curva para a esquerda que o nosso litoral faz no Rio Grande do Norte e prossegue até a pontinha do Amapá na fronteira com a Guiana Francesa. Reportagem ouviu moradores e especialistas sobre o debate em relação à licença ambiental."
20/04/2025,0,mudanças climáticas,"Por que alergias estão ficando piores com mudanças climáticas? O aquecimento global causado pelas emissões de dióxido de carbono está aumentando o tempo e a quantidade de exposição ao pólen das plantas."
20/04/2025,0,biodiversidade,"Como habitat de onças-pintadas do 'tamanho da Inglaterra' virou plantação de soja e pasto. Uma única fazenda criadora de gado desmatou cerca de 1 mil hectares de forma não autorizada em uma área protegida por lei no Mato Grosso."
20/04/2025,0,mudanças climáticas,"Produção de carne bovina no Brasil emite mais do que o dobro da meta de gases do efeito estufa. Pesquisa alerta para a necessidade da mudança no processo produtivo para o cumprimento das metas ambientais até 2030."
13/04/2025,0,crimes ambientais,"Formigas em tubo de ensaio: grupo é detido com 5 mil animais vendidos em rede de tráfico internacional. Segundo as autoridades, eles fazem parte de uma rede que leva os animais para a venda na Europa e na Ásia."
13/04/2025,1,preservação e conservação,"Por que Portugal está soltando bovinos e cavalos na natureza? Iniciativa no vale do rio Côa busca recriar ecossistemas que existiam no passado, ampliando biodiversidade e reduzindo riscos de incêndios."
13/04/2025,1,preservação e conservação,"Área devastada por queimadas tem queda de 70% no 1º trimestre, diz MapBiomas. Amazônia é o bioma mais atingido, com Roraima como estado mais afetado."
13/04/2025,1,biodiversidade,"Lulacolossal é filmada em habitat natural pela 1ª vez em 100 anos - assista. Imagens inéditas mostram um filhote da espécie que mede apenas cerca de 30 centímetros. Quando adulta, pode medir até 7 metros e pesar 500 kg, o que lhe rende o título de invertebrado mais pesado do planeta."
20/04/2025,1,tecnologia e inovação,"O ambicioso projeto britânico de tirar gás carbônico do mar. Um projeto piloto está testando se é uma maneira útil de combater as mudanças climáticas."
20/04/2025,1,tecnologia e inovação,"Pesquisadores conseguem primeiro 'nugget' com carne feita em laboratório. Carne feita em laboratório pode reduzir a demanda por bovinos e com isso reduzir o impacto ambiental na produção de carne."
13/04/2025,0,mudanças climáticas,"Tempestade solar amplia visibilidade de aurora boreal nos EUA. Fenômeno de grande intensidade deve ampliar faixa que poderá observar as luzes coloridas no céu"
13/04/2025,0,políticas ambientais,"Ativistas climáticos fazem protesto com cinzas de queimadas da Amazônia em Brasília. Ato em frente ao Itamaraty pede que Brasil 'lidere transição energética justa na COP 30' que ocorre em Belém em novembro. Grupo reúne representantes de várias partes do mundo"
13/04/2025,0,mudanças climáticas,"Europa tem enchentes, calor extremo e seca: recordes no ano mais quente da história, relatório mostra impactos. Relatório sobre o Estado do Clima na Europa 2024 mostra que a Europa é o continente que mais aquece no mundo e já sofre com os contrastes do clima"
13/04/2025,1,preservação e conservação,"Gorila mais velha do mundo vivendo em zoológico comemora 68 anos. Gorila vive em zoológico desde 1959, ou seja, passou a maior parte da vida na instituição. Ela vive em um zoo na Alemanha"
13/04/2025,0,poluição,"Peixes sob efeito de ansiolíticos: Estudo mostra que poluição por remédios está fazendo peixes terem comportamento de risco. Pesquisa sugere que até mesmo pequenos traços de drogas no ambiente podem alterar o comportamento animal de maneiras que podem moldar sua sobrevivência e sucesso na natureza"
06/04/2025,0,biodiversidade,"O que levou à morte de quase 50 hipopótamos em reserva africana? Os hipopótamos foram encontrados flutuando em um rio ao sul do Lago Edward que separa a RDC de Uganda"
06/04/2025,1,preservação e conservação,"Tartaruga-das-galápagos se torna mãe pela primeira vez aos 100 anos - veja. Tartaruga é de espécie considerada em extinção e nascimento é raro. Ela gerou quatro filhotes que estão sob cuidados de zoológico e tem peso de um ovo de galinha"
06/04/2025,0,crimes ambientais,"'Ouro tóxico': avanço do garimpo diminui em 3 terras indígenas, mas criminosos migram para nova área. Abertura de novas áreas é motivada por 'apetite internacional' e corrida de bancos para aumentar reservas de ouro, diz ONG. Devastação recuou em algumas TIs como a Yanomami mas aumentou na TI Sararé em Mato Grosso"
06/04/2025,1,preservação e conservação,"Leões resgatados da guerra na Ucrânia se estabelecem em uma nova vida na Inglaterra"
06/04/2025,1,preservação e conservação,"Leões retirados da zona de guerra na Ucrânia vão para Inglaterra após operação de resgate. Animais traumatizados emocionam a internet e visitantes do novo Centro de Resgate de Leões de santuário a sudeste de Londres. Grande operação internacional de resgate durou quase um ano"
06/04/2025,0,desastres,"Chuva recorde na Bolívia faz vacas nadarem para fugir de cheias - VEJA. O país foi atingido por algumas das chuvas mais intensas em décadas e 55 pessoas morreram. Segundo autoridades locais, mais de meio milhão de famílias foram afetadas"
06/04/2025,1,preservação e conservação,"A floresta que 'brotou' no meio do entulho em São Paulo com plantio de 41 mil mudas. Hélio da Silva plantou mais de 41 mil árvores no Parque Linear Tiquatira na Zona Leste de São Paulo e transformou o local em uma verdadeira floresta urbana"
06/04/2025,0,secas,"País tem quase 2 mil cidades em situação de seca e especialistas alertam para risco no Pantanal. Depois de enfrentar a pior seca da história, o país teve uma temporada de chuvas irregular e o cenário de seca 'mudou de lugar', amenizando no Norte e intensificando no Centro-Sul"
06/04/2025,0,crimes ambientais,"Brasil apura contrabando de fósseis de milhões de anos para a Europa - VEJA. Peças foram retiradas de sítio arqueológico no Ceará e contrabandeado para a Europa onde são vendidos por milhares de reais. No país é ilegal a venda de fósseis"
06/04/2025,1,biodiversidade,"Chimpanzés são capazes de juntar sons para formar linguagem complexa, aponta estudo. Pesquisadores analisaram comunicação de chimpanzés considerados 'primos' dos humanos e descobriram sinais de linguagem complexa que antes se acreditava ser exclusiva das pessoas"
06/04/2025,1,preservação e conservação,"O que uma câmera automática mostrou de um povo indígena isolado no Brasil. A Funai compartilhou com a BBC News Mundo algumas fotos tiradas com uma armadilha fotográfica e outras imagens que oferecem um vislumbre sobre esse povo isolado na Amazônia"
06/04/2025,0,políticas ambientais,"Primeira grande obra da COP 30: Mercado de São Brás segue sem operação completa mesmo após duas inaugurações em Belém. Mercado de São Brás segue sem funcionamento após mais de 100 dias. Com investimento de R$ 150 milhões, adaptações pelos empresários e obras na área central ainda estão em andamento enquanto feirantes permanecem em uma feira provisória enfrentando dificuldades"
06/04/2025,0,crimes ambientais,"O influencer preso por invadir ilha do povo 'mais isolado do mundo'. Um americano de 24 anos foi preso por autoridades indianas após tentar fazer contato com a tribo Sentinelese"
06/04/2025,0,desastres,"Alerta de temporais: quais cuidados adotar quando Inmet prevê chuva extrema e Cemaden aponta riscos. Sudeste tem alertas de temporais até domingo (6). O Centro Nacional de Monitoramento e Alerta de Desastres Naturais (Cemaden) divulgou alertas de 'alto' risco para eventos geohidrológicos"
06/04/2025,0,políticas ambientais,"No Xingu, cacique Raoni alerta Lula sobre riscos de explorar petróleo na Foz do Amazonas. 'Destruir, destruir e destruir'. Líder indígena discursou em cerimônia no Parque Nacional do Xingu no Mato Grosso. Lula, Janja e ministros foram à região para entregar maior honraria federal a Raoni"
06/04/2025,0,desastres,"Cemaden amplia alertas de risco para cidades do RJ, de MG, de SP e do ES por causa da chuva - veja cenário. Centro Nacional de Monitoramento e Alerta de Desastres Naturais (Cemaden) emitiu seu mais alto nível de alerta para a região de Petrópolis por causa da previsão de chuvas persistentes no sábado (5) e no domingo (6)"
06/04/2025,0,crimes ambientais,"Como o avanço do garimpo ilegal devasta a Amazônia e agora ameaça santuário de 'árvores gigantes'. Mais de 70% das áreas de garimpo no país hoje são ilegais. Exploração movimenta bilhões, deixando rastro de violência e destruição. Agora atividade ilegal ameaça santuário com as maiores árvores da Amazônia"
06/04/2025,1,políticas ambientais,"'Decisão não é política entre eu e o ministro Alexandre', diz Marina sobre exploração de petróleo na Foz do Amazonas. Ministra do Meio Ambiente participou de encontro dos Brics em Brasília. Defendeu a transição energética e negou embate com o ministro Alexandre Silveira de Minas e Energia sobre exploração de petróleo"
06/04/2025,1,políticas ambientais,"Em evento do Brics, Marina diz ser 'inadiável' discutir medidas globais para superar combustíveis fósseis. Ministra do Meio Ambiente participou de encontro do grupo em Brasília. Ainda no discurso cobrou dos países do Brics que articulem atuação conjunta na COP30"
06/04/2025,0,desastres,"'Chuva extrema', ventania e ressaca: quais os impactos previstos da passagem da 1ª frente fria do outono no Brasil. Regiões têm previsão de muita chuva para os próximos dias. São Paulo e Rio de Janeiro são os estados que mais devem sofrer com os temporais"
30/03/2025,0,biodiversidade,"Projeto militar dos Estados Unidos com a SpaceX coloca em risco milhares de animais no Pacífico. Em março, a Força Aérea informou que selecionou o Atol Johnston, um território dos Estados Unidos no Oceano Pacífico que é refúgio de aves selvagens, para o projeto militar americano de usar jatos para entregar suprimento de guerra em até 90 minutos em qualquer lugar do planeta"
30/03/2025,1,tecnologia e inovação,"Coleta de neblina: água do ar no combate à seca. A neblina é uma fonte barata e abundante de água doce, especialmente em regiões remotas e áridas. Mas ela também oferece um grande potencial para as cidades. Como funciona sua coleta e onde ela já está sendo aplicada"
30/03/2025,0,políticas ambientais,"COP 30: Entenda polêmica de 'jardins artificiais' que imitam árvores em Belém. Sistema nomeado inicialmente de 'árvores artificiais' pelo governo causou polêmica nas redes sociais e é considerado controverso entre ambientalistas, paisagistas e entre a população civil"
30/03/2025,0,poluição,"PET colorido, embalagem de salgadinho e plástico de uso único: você sabe se o seu lixo é mesmo reciclável? Apesar de serem de plástico, muitas embalagens não têm reciclabilidade. Isso faz com que você ache que elas estão sendo reutilizadas mas acabam não sendo"
30/03/2025,1,tecnologia e inovação,"'Cultivo de geleiras' é arma contra inundações. Aumento da temperatura global ameaça a região chamada de Terceiro Polo no norte do Paquistão"
30/03/2025,0,mudanças climáticas,"Calor do verão entra para o ranking dos mais quentes da história no Brasil. País viveu ondas de calor consecutivas com cidades batendo recorde de temperatura. No Rio de Janeiro, mar chegou a mudar de cor por causa do calor excessivo"
30/03/2025,1,tecnologia e inovação,"As 'plantas zumbis' que voltam à vida depois de secas - veja antes e depois. Pesquisadores acreditam que os poderes de resistência à seca encontrados nos genes das plantas podem ser fundamentais para adaptar a agricultura a um futuro marcado pelas mudanças climáticas"
30/03/2025,0,secas,"O Brasil no mapa das piores secas do mundo. Em 2024, quase 60% do país sofreu com a maior seca da história, o que comprometeu biomas e a produção agrícola. Por todo o país, rios estão secando e desaparecendo, como alerta Ana Paula Martins do Amaral Cunha, pesquisadora no Cemaden"
30/03/2025,0,poluição,"'Lixo fashion' no Atacama: milhões de toneladas de roupas de marca são descartadas no deserto. ONG entrega peças de graça. Todos os anos são descartadas cerca de 39 mil toneladas de roupas no deserto do Atacama de forma ilegal. Agora, iniciativa está recolhendo peças e entregando-as gratuitamente para chamar a atenção sobre o descarte e poluição do mercado da moda"
30/03/2025,0,desastres,"Entenda o que é liquefação, fenômeno que pode 'engolir' construções em Mianmar. Processo geológico acontece quando os solos, normalmente compostos por sedimentos e saturados com água, passam do estado sólido para um estado mais líquido"
30/03/2025,0,mudanças climáticas,"Crise climática faz cerejeiras atingirem pico de floração mais cedo que o normal no hemisfério norte. Aquecimento global acelera o início do aparecimento das flores conhecidas como sakuras"
30/03/2025,1,políticas ambientais,"'O maior pesadelo é a desinformação', diz André Correa do Lago, presidente da COP 30. Embaixador afirmou que divulgar fake news sobre mudança do clima é crime. Côrrea do Lago participou de evento em São Paulo nesta sexta-feira (28)"
30/03/2025,0,mudanças climáticas,"Chuvas na Amazônia e no Pantanal ficaram até 40% abaixo do normal em 2024, aponta OMM. Documento analisou os impactos dos eventos extremos do clima na América Latina e no Caribe no último ano"
30/03/2025,0,mudanças climáticas,"Mudança climática agrava doenças cardiovasculares. Calor extremo leva à perda anual de 50 mil anos de vida saudável devido a doenças cardiovasculares, mostra estudo"
29/03/2025,1,tecnologia e inovação,"Projeto australiano busca soluções criativas para ajudar espécies a sobreviver às mudanças climáticas. Plataforma permite que ambientalistas aprendam com experiências bem-sucedidas e adaptem essas soluções às suas próprias realidades"
29/03/2025,1,sustentabilidade,"Paris dá mais um passo para se tornar uma cidade sem carros. Após investir contra SUVs, capital francesa agora quer banir automóveis de 500 ruas que serão transformadas em zonas para pedestres. Iniciativa busca tornar cidade menos poluída e mais segura"
29/03/2025,1,preservação e conservação,"Refúgio climático: solução ou paliativo para calor extremo? Diante das altas temperaturas que persistem em todo o Brasil, algumas cidades têm desenvolvido medidas para amenizar os efeitos do calor. Foi o caso de um refúgio climático criado em 2024 no centro de Belo Horizonte pela prefeitura local"
29/03/2025,0,biodiversidade,"'Sumiço' de pequenos animais que passam a vida enterrados entre os grãos de areia preocupa cientistas. Indicadores universais da saúde de ecossistemas de praias em todo o planeta (especialmente no Brasil), os pequenos crustáceos voltaram a ter drástica redução populacional"
29/03/2025,0,secas,"Mega secas aumentam no mundo e Brasil fica no top 10 das mais severas - veja mapa. País aparece duas vezes entre as regiões mais afetadas por secas prolongadas segundo estudo global que analisou fenômenos entre 1980 e 2018. Relatório recente da OMM confirma tendência de agravamento"
29/03/2025,0,mudanças climáticas,"Derretimento de geleiras causa impactos em cadeia e é o 2º fator de elevação do nível do mar, alerta OMM. Novo relatório da organização aponta que ritmo acelerado do degelo pode levar a uma reação em cadeia de impactos ao ecossistema e também a comunidades de todo o mundo"
29/03/2025,0,políticas ambientais,"COP30: as duras críticas às políticas ambientais do Brasil publicadas em importante jornal científico. Num editorial divulgado no periódico acadêmico Science, pesquisadores criticam a atuação do governo brasileiro meses antes da Conferência do Clima que vai acontecer em Belém no Pará"
29/03/2025,0,mudanças climáticas,"Aquecimento dos oceanos causará impacto por milênios, diz órgão meteorológico da ONU. Danos da mudança climática podem se tornar irreversíveis segundo levantamento da Organização Meteorológica Mundial"
29/03/2025,0,desastres,"Tempestades de areia deixam cidades no sul dos EUA encobertas por nuvem de poeira - VÍDEO. Imagens mostram moradores de El Paso no Texas caminhando de máscara e com dificuldade por causa da visibilidade limitada que causou a morte de 3 pessoas em acidentes no estado. No Kansas, uma batida envolvendo mais de 50 carros deixou 8 mortos"
29/03/2025,0,mudanças climáticas,"'Gelo derreteu sob nossos pés': a dramática foto de huskies correndo sobre água que revela rápido degelo da Groenlândia. Em 2019 o cientista climático Steffen Olsen tirou uma foto surpreendente de huskies parecendo andar sobre a água. A foto rapidamente se tornou viral pois revelou a realidade do rápido derretimento do gelo da Groenlândia"
29/03/2025,1,tecnologia e inovação,"De 'bloqueador solar' a neve artificial: as iniciativas que buscam conter os efeitos do aquecimento global na Suíça. Nos últimos dois anos a Suíça perdeu 10% do volume total de suas geleiras e o ritmo de derretimento se acelerou em 2024"
29/03/2025,1,tecnologia e inovação,"Cientistas brasileiros desenvolvem tecnologia para reduzir queda de árvores nas grandes cidades. Imagens de um scanner desenvolvido por um estudante de engenharia ajudam a indicar o local ideal para fazer a poda das árvores para que elas continuem saudáveis depois do corte e suportem temporais"
29/03/2025,1,preservação e conservação,"PRF resgatou mais de 16 mil animais em 2024; 58 pessoas foram detidas por transporte ilegal. Dados foram divulgados pela Polícia Rodoviária Federal nesta sexta-feira (14), data em que é celebrado o Dia Nacional dos Animais"
29/03/2025,0,poluição,"Menos de 2% dos resíduos recicláveis são recuperados no Brasil, diz Ministério das Cidades. Dados são do Sistema Nacional de Informações em Saneamento Básico (Sinasa) e foram coletados em 2023. Segundo especialista, infraestrutura e conscientização são fatores críticos"
29/03/2025,0,hídrica,"Nasa revela aumento 'inesperado' do nível do mar em 2024. Taxa atingiu 0,59 centímetros, índice superior à projeção inicial de 0,43 centímetros anuais"
29/03/2025,0,crimes ambientais,"PF apreende mais de 1 tonelada de barbatanas de tubarão em depósito clandestino no ES; chinês é preso. Outras duas pessoas foram detidas em Itapemirim. PF disse que barbatanas eram preparadas para países asiáticos onde são utilizadas na produção de iguarias servidas em restaurantes de alto padrão"
29/03/2025,0,desmatamento,"A estrada construída para a COP30 em Belém que vai desmatar a Amazônia. Para ativistas, a estrutura construída para receber a cúpula do clima em Belém vai contra os princípios da própria conferência"
29/03/2025,0,mudanças climáticas,"Corrente oceânica vital para Terra está morrendo. Entenda. A Corrente Circumpolar Antártica, uma das mais poderosas do planeta, está enfraquecendo devido ao aquecimento global. Esse fenômeno pode desacelerá-la em até 20% até 2050, afetando o clima da Terra e intensificando os extremos climáticos"
27/02/2025,1,preservação e conservação,"Irlanda doará R$ 91 milhões para o Fundo Amazônia, informa Planalto. Com a entrada da Irlanda no grupo de países doadores, chega a oito o número total de nações que ajudam a manter o fundo"
27/02/2025,0,políticas ambientais,"Chefe de agência de proteção ambiental dos EUA anuncia revogação de dezenas de regulamentações. Entre as medidas mais polêmicas está a revisão de uma determinação científica de 2009 que classifica os gases de efeito estufa como prejudiciais à saúde pública"
27/02/2025,1,preservação e conservação,"Desmatamento na Amazônia atinge menor nível histórico para fevereiro em 2025"
27/02/2025,1,preservação e conservação,"Inpe: alertas de desmatamento na Amazônia alcançam menor valor histórico para fevereiro. Quando comparada ao ano passado, taxa representa uma queda de 64,3%. Apesar disso, o volume de desmatamento ainda é relevante. Foram identificados 81 km² no mês - área semelhante à da cidade de Vitória (ES)"
27/02/2025,1,políticas ambientais,"Dino dá aval à indenização de indígenas pela exploração de recursos na usina de Belo Monte. Decisão vale para outras disputas semelhantes entre povos originários e hidrelétricas. Ministro disse que há uma omissão do Congresso em regulamentar trechos da Constituição que tratam da exploração de recursos em áreas de povos originários"
27/02/2025,0,biodiversidade,"Borboletas nos EUA estão desaparecendo a uma taxa 'catastrófica'; entenda. Uso de inseticidas, mudanças climáticas e a perda de habitats são as principais causas desse sumiço"
27/02/2025,1,políticas ambientais,"Chefe da COP 30 diz acreditar que maioria dos empresários dos EUA seguirão comprometidos com Acordo de Paris. Trump determinou a retirada dos Estados Unidos do tratado sobre clima. Para embaixador André do Lago, medida não deve influenciar dois terços da indústria norte-americana"
27/02/2025,0,crimes ambientais,"Comerciante leva multa de quase R$ 20 mil por venda de aves exóticas sem autorização ambiental em Presidente Prudente. Fiscalização apreendeu 87 pássaros que eram mantidos em cativeiro"
27/02/2025,0,mudanças climáticas,"Por que corrente oceânica mais forte do mundo está ameaçada. A remota e misteriosa corrente marítima da Antártida influencia profundamente o clima, o ecossistema e a cadeia alimentar do continente gelado"
27/02/2025,0,poluição,"Lixo da China, Venezuela e até dos Emirados Árabes são encontrados em praia do ES. Estado capixaba que já tem a segunda cidade brasileira com maior poluição por microplástico agora registrou também lixo internacional nas areias da Praia de Guriri, no Norte do estado"
27/02/2025,1,preservação e conservação,"VÍDEO: Tartaruga encontrada presa em anzóis é devolvida ao mar após dois meses de tratamento em Ubatuba-SP. O animal foi reabilitado por profissionais do Projeto Tamar. Soltura reuniu dezenas de pessoas na tarde desta sexta-feira (7) para celebrar o retorno do animal ao mar"
27/02/2025,0,desastres,"Cinco cidades do ES recusam acordo de reparação pelo desastre de Mariana. Aracruz, Baixo Guandu, Colatina, Marilândia e Sooretama relataram que acordo oferecido pela Justiça brasileira não atende as necessidades dos municípios e preferiram seguir com a ação na Justiça inglesa"
27/02/2025,1,preservação e conservação,"VÍDEO: tubarão-baleia se aproxima de barco de pescadores no litoral do ES. Maior peixe do mundo foi visto em Aracruz no Norte do Espírito Santo. É um registro considerado raro porque o animal é ameaçado de extinção. Espécie procura o estado durante o verão para se alimentar"
27/02/2025,1,políticas ambientais,"Presidente da COP30 diz que financiamento aos países em desenvolvimento e aceleração das medidas do Acordo de Paris serão prioridades. De acordo com Corrêa do Lago, o Brasil quer que a COP30, que será realizada em Belém (PA), marque uma virada no debate climático global. A intenção é deixar para trás a fase de longas negociações e avançar para resultados concretos com foco na prática"
27/02/2025,1,preservação e conservação,"VÍDEO: tamanduá-mirim atropelado é resgatado na BR-101, tratado e devolvido à natureza no ES. Animal foi encontrado ferido na BR-101 em São Mateus, no Norte do estado"
27/02/2025,0,mudanças climáticas,"Imagens de satélite mostram gelo marinho global em mínimo histórico em 2025. Fotos do satélite europeu Copernicus Sentinel-3 mostram diminuição alarmante da cobertura de gelo nos polos, um dos efeitos das mudanças climáticas"
27/02/2025,0,desastres,"Ministério do Meio Ambiente declara estado de emergência em áreas com risco de incêndios florestais - veja onde. Medida detalha as regiões do país que estarão em estado de emergência em períodos específicos, medida permite a contratação de brigadistas especializados em biomas"
27/02/2025,0,biodiversidade,"Como queimadas na Amazônia aceleram derretimento na Antártida a milhares de quilômetros de distância. Embora o aquecimento global seja a principal causa do degelo, aquecendo os oceanos e a atmosfera ao redor da Antártida, cientistas estão identificando novos fatores que aceleram esse processo como a fuligem"
27/02/2025,1,políticas ambientais,"Ministra do Meio Ambiente assina portaria que estabelece estado de emergência em áreas com risco de incêndios florestais. Medida detalha as regiões do país que estarão em estado de emergência em períodos específicos, medida permite a contratação de brigadistas especializados em biomas"
27/02/2025,1,preservação e conservação,"Ursos-polares estão deixando as tocas mais cedo no Ártico. VÍDEO mostra imagens raras de mãe e filhotes. Pesquisa analisou imagens capturadas por quase uma década - algo possivelmente inédito. Período foi necessário por conta da dificuldade de se estudar as tocas justamente porque as fêmeas da espécie as constroem em regiões de difícil acesso em meio à neve e gelo"
27/02/2025,1,preservação e conservação,"Antes de ser fechada por Trump, USAID previu enviar US$ 162 milhões para a conservação da Amazônia. Dados foram obtidos pelo g1 junto ao site oficial do governo dos Estados Unidos que disponibiliza informações sobre os gastos federais"
27/02/2025,0,mudanças climáticas,"Novo estudo afirma que circulação do oceano Atlântico vai enfraquecer mas não terá colapso neste século. Artigo do serviço nacional de meteorologia do Reino Unido e da Universidade de Exeter publicado na Nature afirma que o colapso da AMOC neste século é improvável. Sistema é crucial para o clima do Atlântico Norte e do noroeste da Europa"
27/02/2025,0,crimes ambientais,"Após pressionar por novas áreas de petróleo, Silveira defende explorar 'gás de xisto' no Brasil. Brasil já importa gás argentino obtido por 'fraturamento hidráulico', técnica associada a riscos ambientais. Hoje Brasil não usa essa técnica; grupo quer tirar Ibama do processo de autorização"
27/02/2025,1,políticas ambientais,"Brics vai tentar levar à COP 30 posição única sobre financiamento climático, diz negociador-chefe do Brasil. Negociadores dos países se reúnem nesta semana em Brasília. País sediará COP 30 em novembro e na estimativa do governo é necessário levantar US$ 1,3 trilhão"
27/02/2025,0,políticas ambientais,"Lula diz ser contra combustível fóssil mas afirma que o Brasil ainda precisa de petróleo. No RS, presidente participou de ato de assinatura de um contrato para aquisição de quatro navios para a Transpetro. Para Lula, dinheiro da Petrobras vai ajudar na transição energética"
27/02/2025,0,mudanças climáticas,"A relação entre aquecimento global e frio extremo - veja VÍDEO. Enquanto o Brasil bate recordes de calor, em países como EUA e Canadá os termômetros chegaram a marcar mais de 40 graus negativos. Como pode fazer tanto frio em meio ao aquecimento do planeta? Os fenômenos estão diretamente ligados. Entenda"
27/02/2025,0,desastres,"Município de Serra do Navio registra cheia do rio Amapari. Defesa Civil do AP monitora região. Pedra Branca e Serra do Navio são as regiões que mais preocupam no momento. Imagens mostram parte de uma residência alagada na cidade serrana"
27/02/2025,0,mudanças climáticas,"Aquecimento global acima de 1,5°C pode ser irreversível, diz estudo. Em 2024, mundo superou pela primeira vez meta do Acordo de Paris em relação ao período pré-industrial. Pesquisa sugere que longe de ser uma exceção, fenômeno seria uma tendência permanente"
27/02/2025,0,biodiversidade,"Dezenas de baleias serão sacrificadas após encalhe em massa na Austrália. Grupo de mais de 150 encalhou na praia e 90 ainda sobreviveu. No entanto, sem conseguirem voltar para a água e sem possibilidade de resgate, autoridades decidiram sacrificar os animais"
27/02/2025,0,desastres,"Turistas esquiando perto da lava de um vulcão em erupção preocupam autoridades italianas. Milhares de turistas têm ido ao local fazer vídeos para as redes sociais muito perto da erupção e interditando vias de acesso até mesmo para carros de resgate"
27/02/2025,1,preservação e conservação,"Reflorestamento, obras e alertas de emergência: saiba o que mudou na Vila Sahy dois anos após a tragédia de São Sebastião-SP. A vila, localizada na Barra do Sahy, ficou devastada e foi o epicentro da tragédia provocada pelas chuvas históricas que deixaram 64 mortos em São Sebastião no carnaval de 2023"
27/02/2025,0,políticas ambientais,"Presidente da COP admite que saída dos EUA do Acordo de Paris pode impactar conferência no Brasil. País sediará conferência sobre mudanças climáticas em novembro. Lula tem dito que COPs precisam discutir assunto de forma séria para não serem 'desmoralizadas'"
27/02/2025,0,mudanças climáticas,"As razões por trás da onda de calor recorde no Rio de Janeiro e em outras partes do Brasil. Os períodos de temperaturas extremamente altas têm se tornado cada vez mais frequentes e, segundo especialistas, a tendência é que essa situação se agrave"
27/02/2025,0,mudanças climáticas,"Calor extremo: como é viver onde faz 50ºC. Os sucessivos recordes de temperatura mostram que a crise climática não é mais uma preocupação sobre o futuro. Em muitas partes do mundo ela já começou"
